city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Anchorage,Anchorage,AK,Alaska,2020,Anchorage,61.1508,-149.1091,290674,65.8,shape,False,True,America/Anchorage,2,99518 99515 99517 99516 99513 99540 99530 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99510 99511 99514 99520 99521 99522 99523 99524 99529 99599,1840023385
Juneau,Juneau,AK,Alaska,2110,Juneau,58.4546,-134.1739,32108,4.6,shape,False,True,America/Juneau,2,99824 99801 99802 99803 99811 99812 99821,1840023306
North Lakes,North Lakes,AK,Alaska,2170,Matanuska-Susitna,61.6191,-149.311,10262,255.9,shape,False,False,America/Anchorage,3,99654 99687,1840152941
Ketchikan,Ketchikan,AK,Alaska,2130,Ketchikan Gateway,55.3556,-131.6698,8168,826.6,shape,False,True,America/Sitka,3,99901,1840023270
Nikiski,Nikiski,AK,Alaska,2122,Kenai Peninsula,60.7152,-151.2317,4405,24.5,shape,False,False,America/Anchorage,3,99611,1840023615
Deltana,Deltana,AK,Alaska,2240,Southeast Fairbanks,63.8723,-145.2158,2059,1.4,shape,False,True,America/Anchorage,4,99737 99731,1840075067
Unalakleet,Unalakleet,AK,Alaska,2180,Nome,63.8924,-160.7861,743,100.2,shape,False,True,America/Anchorage,3,99684,1840023501
Halibut Cove,Halibut Cove,AK,Alaska,2122,Kenai Peninsula,59.5744,-151.2296,211,9.8,shape,False,False,America/Anchorage,3,99603,1840023645
Chisana,Chisana,AK,Alaska,2066,Copper River,62.0946,-142.034,0,0.0,shape,False,False,America/Anchorage,3,99566,1840023392
Birmingham,Birmingham,AL,Alabama,1073,Jefferson,33.5279,-86.7971,782111,526.4,shape,False,True,America/Chicago,2,35218 35214 35215 35217 35210 35211 35212 35213 35224 35221 35222 35203 35207 35206 35205 35204 35209 35208 35094 35254 35068 35061 35228 35234 35235 35233 35243 35242 35249 35201 35202 35220 35232 35237 35238 35246 35255 35259 35261 35270 35282 35283 35285 35287 35290 35291 35292 35294 35295 35298,1840006507
Huntsville,Huntsville,AL,Alabama,1089,Madison,34.6981,-86.6412,349482,376.2,shape,False,True,America/Chicago,2,35801 35803 35802 35805 35806 35741 35824 35763 35757 35756 35810 35811 35816 35896 35742 35762 35804 35807 35809 35814 35815 35893 35894 35895 35897 35899,1840005061
Montgomery,Montgomery,AL,Alabama,1101,Montgomery,32.3482,-86.2668,251158,482.6,shape,False,True,America/Chicago,2,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191,1840008353
Florence,Florence,AL,Alabama,1077,Lauderdale,34.8303,-87.6655,81268,593.8,shape,False,True,America/Chicago,3,35632 35633 35630 35631,1840002083
Alabaster,Alabaster,AL,Alabama,1117,Shelby,33.2198,-86.8225,33417,492.4,shape,False,True,America/Chicago,3,35114 35007 35144,1840013756
Cullman,Cullman,AL,Alabama,1043,Cullman,34.1775,-86.8407,18434,314.7,shape,False,True,America/Chicago,3,35058 35057 35055 35056,1840001354
Fultondale,Fultondale,AL,Alabama,1073,Jefferson,33.6174,-86.8014,9756,310.4,shape,False,True,America/Chicago,3,35217 35119 35068,1840002481
